"","am_sid","class","order","family","Loo","K","Winfinity","tmax","tm","M","Lm","depthrangedeep","demerspelag","EnvTemp","FeedingType","bodyshape","IUCN_Code","Resilience","pd50","vulnerability","importance","pricecateg"
"193","Fis-30329","Actinopterygii","Myctophiformes","Myctophidae",9.14762338825287,0.368444040025794,7.16565263044347,5.365765761593,1.65402452443245,0.896842537065076,5.28561574907181,1000,"pelagic","deep-water","selective plankton feeding","elongated","LC","Medium",0.5,32.31,NA,"high"
"156","Fis-27328","Actinopterygii","Scorpaeniformes","Triglidae",41.7906586482604,0.318853330093246,751.395339362579,11.6004426095426,3.54480180855088,0.462154476281804,24.1336293467577,170,"demersal","temperate",NA,"elongated","LC","Medium",0.501,51.83,"commercial","very high"
"106","Fis-23580","Actinopterygii","Lampriformes","Lampridae",55.5173206992206,0.247055178215991,1400.71878759725,10.4054259948334,3.06933231926246,0.437254884638322,29.5761081256118,500,"pelagic","deep-water","hunting macrofauna (predator)","short and / or deep","LC","Low",1,60.07,"minor commercial","very high"
"225","Fis-32103","Actinopterygii","Stomiiformes","Gonostomatidae",11.0535332054983,0.686128325286625,9.33597275513956,3.81030384100126,1.12487864454654,1.15817067543176,7.11261835795914,4938,"pelagic","deep-water",NA,"elongated","LC","Medium",0.5001,14.62,"of no interest","unknown"
"45","Fis-22747","Elasmobranchii","Lamniformes","Cetorhinidae",899.551363090839,0.0524986042728482,5159533.53388595,54.5521898196211,21.5704855514692,0.0732036023549294,491.17167895363,2000,"pelagic","temperate","filtering plankton","elongated","EN","Low",1.5,86.06,"commercial","low"
"221","Fis-31578","Elasmobranchii","Lamniformes","Mitsukurinidae",280.315627092218,0.106752676971153,112466.664719973,25.1756875865864,10.621003079787,0.177073308516949,163.54901121379,1300,"demersal","deep-water","hunting macrofauna (predator)","elongated","LC","Low",1.5,90,NA,"unknown"
"275","Fis-6123","Actinopterygii","Perciformes","Sparidae",54.8030233184615,0.25165586585192,2809.36708423806,12.4512987076888,3.04915693391005,0.408441381350314,29.4174833092896,150,"demersal","subtropical","hunting macrofauna (predator)","fusiform / normal","LC","Medium",1,40.2,"commercial","very high"
"151","Fis-27265","Actinopterygii","Anguilliformes","Muraenidae",123.227228349164,0.109330850437054,11981.4949284002,19.3370856566747,5.96996977375684,0.21104249424587,58.4192931277796,200,"demersal","tropical",NA,"eel-like","LC","Low",0.5,60.82,"commercial","medium"
"52","Fis-22768","Elasmobranchii","Lamniformes","Lamnidae",300.948513720586,0.091360565383303,198596.776446146,30.5296412881503,12.9341685098323,0.15239788832485,184.517498375585,1360,"pelagic","boreal","hunting macrofauna (predator)","fusiform / normal","CR","Low",0.7813,86.11,"commercial","medium"
"32","Fis-20033","Elasmobranchii","Myliobatiformes","Dasyatidae",111.514757585321,0.179425954664994,4123.9665253929,16.79355121013,5.15055474096988,0.287905185073213,58.2087226194457,381,"pelagic","subtropical","hunting macrofauna (predator)","other","LC","Low",1,62.71,NA,"low"
"118","Fis-23826","Actinopterygii","Perciformes","Sparidae",44.3774499181478,0.193887357067615,1883.88780473062,14.5964059652972,3.54404426387364,0.353728246425068,23.3483221539042,300,"pelagic","subtropical","variable","fusiform / normal","LC","Medium",0.75,37.21,"commercial","very high"
"131","Fis-23995","Elasmobranchii","Myliobatiformes","Dasyatidae",150.149689079511,0.0890797668392929,6438.66014395296,9.00528005045695,3.22309511780327,0.293033387168921,46.9081675002361,200,"demersal","subtropical","hunting macrofauna (predator)","other","DD","Low",0.5002,78.58,"commercial","high"
"269","Fis-51155","Actinopterygii","Scorpaeniformes","Scorpaenidae",13.5349563547156,0.353592888017371,28.1434707852083,5.43900697588176,1.36196602093613,0.772289834879876,6.30845762388732,200,"demersal","subtropical","hunting macrofauna (predator)","fusiform / normal","LC","High",0.5,25.52,NA,"low"
"96","Fis-23407","Actinopterygii","Perciformes","Carangidae",42.6277518907769,0.490575544473492,895.879237624773,6.53958173939985,1.71847981186137,1.02635110861724,22.2457466394916,30,"pelagic","subtropical","hunting macrofauna (predator)","fusiform / normal","LC","Medium",1,44.66,"minor commercial","medium"
"211","Fis-30758","Actinopterygii","Zeiformes","Zeidae",54.0385306103679,0.238839518655412,2977.12551573757,14.1790298935721,4.04638990812984,0.343034319117773,33.6803116416664,400,"pelagic","temperate","hunting macrofauna (predator)","short and / or deep","DD","Medium",0.7656,67.56,"commercial","medium"
"185","Fis-29753","Actinopterygii","Perciformes","Callionymidae",25.8774811783684,0.45718912115701,120.223912508696,5.99784634617791,1.7557795907352,0.869959400282104,15.1555960025855,150,"demersal","subtropical","hunting macrofauna (predator)","elongated","LC","High",0.5,24.47,"subsistence fisheries","unknown"
"196","Fis-30477","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae",48.1834088712229,0.170045422086107,971.299024728883,10.916103155608,4.37315636560568,0.432913528635124,26.8125687363546,4099,"demersal","temperate","hunting macrofauna (predator)","eel-like","LC","Low",1,72.15,"minor commercial","high"
"247","Fis-34796","Actinopterygii","Stomiiformes","Stomiidae",23.5397567149252,0.423800313495307,85.8694568757911,6.27355059101942,1.82504280173576,0.668768086628931,14.2697393878252,500,"pelagic","deep-water",NA,"elongated","NE","Medium",1,31.09,NA,"unknown"
